Model,Horizon_1,Horizon_2,Horizon_3,Horizon_4,Horizon_5,Mean RMSE,Std Dev RMSE
VecLSTM (Ours),0.22,0.61,1.24,2.1,3.27,1.488,1.0945574448150266
CS-LSTM,0.22,0.61,1.24,2.1,3.27,1.488,1.0945574448150266
NLS-LSTM,0.2,0.57,1.14,1.9,2.91,1.3439999999999999,0.9706616300235628
Dual-learning,0.22,0.61,1.16,1.8,2.8,1.318,0.9121929620425713
EA-Net,0.15,0.26,0.43,0.78,1.32,0.5880000000000001,0.42357525895642206
BRAM-ED,0.097,0.255,0.428,0.56,1.011,0.4702,0.31237759202606064
L-RRNN,0.22,0.65,1.31,2.22,3.38,1.556,1.1343826514893462
